date,Revenue,COGS,orders_n,mobile_orders,order_success_rate,items_n,qty_sold,premium_qty,total_discount_amount,total_lines,premium_ratio,gross_profit,discount_rate,avg_item_price,day_of_week,is_weekend,month
2012-07-04,5123547.94,3982991.19,162,69,0.8271604938271605,174,777,9,0.0,174,0.011583011583011582,1140556.7500000005,0.0,6594.012792792793,Wednesday,0,7
2012-07-05,2751773.45,2150580.23,97,38,0.8350515463917526,103,428,13,0.0,103,0.030373831775700934,601193.2200000002,0.0,6429.377219626169,Thursday,0,7
2012-07-06,3054029.42,2517632.84,93,42,0.7419354838709677,99,441,0,0.0,99,0.0,536396.5800000001,0.0,6925.236780045351,Friday,0,7
2012-07-07,2667930.94,2108246.62,73,34,0.7534246575342466,75,364,0,0.0,75,0.0,559684.3199999998,0.0,7329.480604395604,Saturday,1,7
2012-07-08,2360851.9,1808622.79,88,45,0.7613636363636364,94,394,0,0.0,94,0.0,552229.1099999999,0.0,5992.009898477158,Sunday,1,7
2012-07-09,3548386.46,2787841.68,137,61,0.7737226277372263,157,730,23,0.0,157,0.031506849315068496,760544.7799999998,0.0,4860.803369863013,Monday,0,7
2012-07-10,5234938.62,4044438.84,183,82,0.7486338797814208,203,928,6,0.0,203,0.00646551724137931,1190499.7800000003,0.0,5641.097650862069,Tuesday,0,7
2012-07-11,5582884.78,4338313.07,221,112,0.8144796380090498,243,1097,25,0.0,243,0.022789425706472195,1244571.71,0.0,5089.229516864175,Wednesday,0,7
2012-07-12,5734632.02,4458811.27,246,101,0.8130081300813008,275,1241,21,0.0,275,0.016921837228041903,1275820.75,0.0,4620.976647864625,Thursday,0,7
2012-07-13,5309511.71,4143402.78,201,99,0.8109452736318408,223,995,21,0.0,223,0.021105527638190954,1166108.9300000002,0.0,5336.192673366834,Friday,0,7
2012-07-14,3820831.41,3075464.87,157,79,0.821656050955414,173,751,9,0.0,173,0.011984021304926764,745366.54,0.0,5087.658335552596,Saturday,1,7
2012-07-15,3948841.28,3154482.05,149,66,0.7583892617449665,162,732,4,0.0,162,0.00546448087431694,794359.23,0.0,5394.591912568306,Sunday,1,7
2012-07-16,3503801.49,2708219.59,140,60,0.7857142857142857,154,719,11,0.0,154,0.015299026425591099,795581.9000000004,0.0,4873.159235048679,Monday,0,7
2012-07-17,4476729.49,3463061.65,185,82,0.8,203,958,34,0.0,203,0.03549060542797495,1013667.8400000003,0.0,4672.995292275575,Tuesday,0,7
2012-07-18,5184141.46,4072012.16,225,103,0.8311111111111111,256,1085,6,0.0,256,0.005529953917050691,1112129.2999999998,0.0,4778.010562211982,Wednesday,0,7
2012-07-19,6421487.11,5007270.91,263,123,0.8136882129277566,289,1322,38,0.0,289,0.028744326777609682,1414216.2000000002,0.0,4857.4032602118,Thursday,0,7
2012-07-20,5171470.46,4213989.64,231,109,0.8051948051948052,258,1227,40,0.0,258,0.032599837000814993,957480.8200000003,0.0,4214.727351263244,Friday,0,7
2012-07-21,3442157.02,2746075.45,171,79,0.7894736842105263,196,855,18,0.0,196,0.021052631578947368,696081.5699999998,0.0,4025.914643274854,Saturday,1,7
2012-07-22,3117550.57,2531656.38,140,67,0.8214285714285714,160,714,10,0.0,160,0.014005602240896359,585894.19,0.0,4366.317324929972,Sunday,1,7
2012-07-23,4730517.69,3685006.66,206,90,0.8398058252427184,231,1037,16,0.0,231,0.015429122468659595,1045511.0300000003,0.0,4561.733548698168,Monday,0,7
2012-07-24,4096496.12,3248450.65,186,81,0.7903225806451613,209,903,44,0.0,209,0.048726467331118496,848045.4700000002,0.0,4536.540553709856,Tuesday,0,7
2012-07-25,5246688.08,4140019.37,224,82,0.7321428571428571,246,1090,27,0.0,246,0.024770642201834864,1106668.71,0.0,4813.475302752294,Wednesday,0,7
2012-07-26,5851965.06,4579171.74,273,115,0.7985347985347986,308,1310,36,0.0,308,0.02748091603053435,1272793.3199999994,0.0,4467.148900763358,Thursday,0,7
2012-07-27,5156699.45,3989402.2,212,96,0.7830188679245284,237,1070,13,0.0,237,0.012149532710280374,1167297.25,0.0,4819.345280373832,Friday,0,7
2012-07-28,4326956.84,3403662.59,176,76,0.8238636363636364,198,896,17,0.0,198,0.018973214285714284,923294.25,0.0,4829.192901785714,Saturday,1,7
2012-07-29,4804199.65,3819645.91,206,87,0.8058252427184466,223,972,42,0.0,223,0.043209876543209874,984553.7400000002,0.0,4942.592232510288,Sunday,1,7
2012-07-30,6586130.95,5195109.56,268,118,0.8208955223880597,301,1332,25,0.0,301,0.01876876876876877,1391021.3900000006,0.0,4944.5427552552555,Monday,0,7
2012-07-31,9151622.14,7142891.18,381,172,0.800524934383202,437,2016,48,0.0,437,0.023809523809523808,2008730.960000001,0.0,4539.495109126984,Tuesday,0,7
2012-08-01,9148357.3,7308514.33,360,166,0.8027777777777778,392,1693,42,0.0,392,0.024808033077377438,1839842.9700000007,0.0,5403.636916715889,Wednesday,0,8
2012-08-02,9692427.0,7537501.15,413,184,0.8184019370460048,452,2038,61,0.0,452,0.029931305201177625,2154925.8499999996,0.0,4755.852306182532,Thursday,0,8
2012-08-03,9297269.95,7118808.46,353,144,0.8045325779036827,391,1793,39,0.0,391,0.021751254880089235,2178461.4899999993,0.0,5185.315086447295,Friday,0,8
2012-08-04,6384195.03,5087528.11,245,107,0.7755102040816326,267,1161,23,0.0,267,0.019810508182601206,1296666.92,0.0,5498.875994832041,Saturday,1,8
2012-08-05,2359224.19,1863413.11,76,32,0.7894736842105263,77,359,24,0.0,77,0.06685236768802229,495811.07999999984,0.0,6571.655125348189,Sunday,1,8
2012-08-06,3630003.7,2922718.71,114,50,0.7719298245614035,123,560,12,0.0,123,0.02142857142857143,707284.9900000002,0.0,6482.149464285714,Monday,0,8
