Date,Revenue,COGS,total_sessions,total_page_views,total_visitors,avg_bounce_rate,avg_session_duration,n_traffic_sources,src_direct_sessions,src_email_campaign_sessions,src_organic_search_sessions,src_paid_search_sessions,src_referral_sessions,src_social_media_sessions,active_promos_count,avg_promo_discount,max_promo_discount,has_stackable_promo,total_orders,cancelled_orders,returned_orders,cancellation_rate,mobile_ratio,total_discount_amount,avg_order_value,total_returns,total_refund,year,month,day,dayofweek,dayofyear,weekofyear,quarter,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dow_sin,dow_cos,Revenue_lag_1,Revenue_lag_7,Revenue_lag_14,Revenue_lag_30,Revenue_roll_mean_7,Revenue_roll_std_7,Revenue_roll_mean_14,Revenue_roll_std_14,Revenue_roll_mean_30,Revenue_roll_std_30,COGS_lag_1,COGS_lag_7,COGS_lag_14,COGS_lag_30,COGS_roll_mean_7,COGS_roll_std_7,COGS_roll_mean_14,COGS_roll_std_14,COGS_roll_mean_30,COGS_roll_std_30,revenue_momentum_7_30,cogs_momentum_7_30,gross_margin_lag_1,gross_margin_lag_7
2012-08-03,9297269.95,7118808.46,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,353,36,17,0.10198300283286119,0.40793201133144474,0.0,23778.184015345265,20.0,261973.78000000003,2012,8,3,4,216,31,3,0,0,0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,9692427.0,5156699.45,5171470.46,5123547.94,6980913.332857142,2310385.0107198316,5751659.880714285,2135074.0019436525,4974918.593666667,1844023.3092540554,7537501.15,3989402.2,4213989.64,3982991.19,5485246.702857143,1812585.0383299645,4538649.772142857,1661457.3147766425,3912082.978333333,1439325.1479507517,1.4032216209013373,1.402129436731433,0.22233088265715076,0.2263651898502636
2012-08-04,6384195.03,5087528.11,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,245,26,12,0.10612244897959183,0.43673469387755104,0.0,23910.84280898876,8.0,68406.08,2012,8,4,5,217,31,3,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,9297269.95,4326956.84,3442157.02,2751773.45,7572423.404285714,2295496.8932570275,6046359.844285714,2325111.9238434914,5114042.660666666,2005958.3862320203,7118808.46,3403662.59,2746075.45,2150580.23,5932304.74,1767518.7007364964,4746136.830714286,1793896.224920655,4016610.220666667,1553953.041193201,1.480711817781077,1.476943097310391,0.23431195412369407,0.2133818949763317
2012-08-05,2359224.19,1863413.11,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,76,6,6,0.07894736842105263,0.42105263157894735,0.0,30639.275194805195,12.0,120347.12,2012,8,5,6,218,31,3,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,6384195.03,4804199.65,3117550.57,3054029.42,7866314.574285715,1910063.9270562544,6256505.4164285725,2201291.4908683244,5235123.38,1967716.6652938,5087528.11,3819645.91,2531656.38,2517632.84,6172856.957142858,1452543.3437222287,4913383.449285715,1699763.1077982835,4114508.4833333334,1524575.7654961448,1.5026034733656488,1.5002659448017401,0.2031057813720957,0.20493605839216114
2012-08-06,3630003.7,2922718.71,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,114,9,9,0.07894736842105263,0.43859649122807015,0.0,29512.225203252034,6.0,147083.88,2012,8,6,0,219,32,3,0,0,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,2359224.19,6586130.95,4730517.69,2667930.94,7517032.365714286,2645359.947002691,6202339.246428572,2291935.4057776215,5211963.205666666,1998127.492824161,1863413.11,5195109.56,3685006.66,2108246.62,5893395.128571429,2047205.600985294,4865651.787142857,1779311.2100814232,4092701.159,1552625.7898414258,1.4422650485217263,1.4399769002463416,0.21015852673162014,0.21120463600864184
2012-08-07,2240253.44,1781265.84,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,93,13,4,0.13978494623655913,0.41935483870967744,0.0,21540.89846153846,12.0,112879.45999999999,2012,8,7,1,220,32,3,0,0,0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,3630003.7,9151622.14,4096496.12,2360851.9,7094728.472857143,3027144.029501683,6123731.104285715,2364037.043583211,5244032.297666667,1963305.918498959,2922718.71,7142891.18,3248450.65,1808622.79,5568767.864285714,2336162.8175204745,4811202.647857143,1829184.1197947895,4119850.2286666664,1523578.4262742128,1.352914717175549,1.3516918225660766,0.1948441512607825,0.21949452559019234
2012-08-08,2617553.36,1997006.42,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,129,15,9,0.11627906976744186,0.4883720930232558,0.0,18052.092137931035,5.0,51784.979999999996,2012,8,8,2,221,32,3,0,0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,2240253.44,9148357.3,5246688.08,3548386.46,6107390.087142857,3353924.6295311223,5991142.341428571,2532531.7984430543,5240012.349,1969526.5244025954,1781265.84,7308514.33,4140019.37,2787841.68,4802821.387142858,2598285.6396013442,4706403.732857143,1962758.125112392,4118938.330333333,1525016.9601335097,1.1655297125985564,1.1660338179314718,0.20488199763683876,0.20111184004586272
2012-08-09,4478691.52,3621672.71,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,156,16,7,0.10256410256410256,0.4551282051282051,0.0,26191.178479532162,16.0,242575.69999999998,2012,8,9,3,222,32,3,0,0,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,2617553.36,9692427.0,5851965.06,5234938.62,5174418.095714286,3274428.300186271,5803347.004285715,2684878.972472838,5208984.578999999,2004123.494928018,1997006.42,7537501.15,4579171.74,4044438.84,4044034.5428571436,2518939.187114379,4553331.379285715,2089782.091445994,4092577.1550000003,1555352.876301535,0.9933640649609393,0.9881388645089926,0.23707136193777534,0.22233088265715076
2012-08-10,3412496.65,2699279.56,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,158,16,9,0.10126582278481013,0.5506329113924051,0.0,19956.120760233916,19.0,271024.06,2012,8,10,4,223,32,3,0,0,0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,4478691.52,9297269.95,5156699.45,5582884.78,4429598.741428571,2598705.577580388,5705256.037142857,2707952.9447929272,5183776.342333334,2008537.0314000666,3621672.71,7118808.46,3989402.2,4338313.07,3484630.48,1993902.2884002854,4484938.591428571,2104487.7613594146,4078484.9506666665,1557717.5003613108,0.8545119327881167,0.8543933647298133,0.19135473076743623,0.23431195412369407
2012-08-11,2732604.35,2168668.05,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,110,8,12,0.07272727272727272,0.35454545454545455,0.0,22037.131854838713,9.0,140878.88,2012,8,11,5,224,32,3,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,3412496.65,6384195.03,4326956.84,5734632.02,3588916.8414285714,1467008.0290852978,5580670.122857143,2774438.919621838,5111430.071333334,2032609.4482495252,2699279.56,5087528.11,3403662.59,4458811.27,2853269.208571429,1188352.1578174287,4392786.974285714,2155483.6787911262,4023850.500333333,1576915.1430187747,0.7021355650655298,0.7090892686830851,0.209001550228628,0.2031057813720957
2012-08-12,3388181.83,2654275.25,0.0,0.0,0.0,0.00445,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,138,12,9,0.08695652173913043,0.4782608695652174,0.0,21176.1364375,15.0,200854.66,2012,8,12,6,225,32,3,1,0,0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,2732604.35,2359224.19,4804199.65,5309511.71,3067261.0300000003,809062.50033577,5466787.802142858,2861222.9799452918,5011362.482333333,2074338.7760498098,2168668.05,1863413.11,3819645.91,4143402.78,2436289.1999999997,674875.8800454813,4304573.078571429,2223282.7915593646,3947512.3929999997,1610213.795337005,0.6120612988609552,0.617170753996921,0.20637319852030545,0.21015852673162014
