Date,Revenue,COGS,total_sessions,total_page_views,total_visitors,avg_bounce_rate,active_promos_count,avg_promo_discount,total_orders,total_discount_amount,year,month,day,dayofweek,is_weekend,Revenue_lag_1,total_orders_lag_1,Revenue_lag_7,total_orders_lag_7,Revenue_lag_14,total_orders_lag_14,Revenue_lag_30,total_orders_lag_30
2012-07-04,5123547.94,3982991.19,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,162,0.0,2012,7,4,2,0,,,,,,,,
2012-07-05,2751773.45,2150580.23,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,97,0.0,2012,7,5,3,0,5123547.94,162.0,,,,,,
2012-07-06,3054029.42,2517632.84,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,93,0.0,2012,7,6,4,0,2751773.45,97.0,,,,,,
2012-07-07,2667930.94,2108246.62,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,73,0.0,2012,7,7,5,1,3054029.42,93.0,,,,,,
2012-07-08,2360851.9,1808622.79,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,88,0.0,2012,7,8,6,1,2667930.94,73.0,,,,,,
2012-07-09,3548386.46,2787841.68,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,137,0.0,2012,7,9,0,0,2360851.9,88.0,,,,,,
2012-07-10,5234938.62,4044438.84,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,183,0.0,2012,7,10,1,0,3548386.46,137.0,,,,,,
2012-07-11,5582884.78,4338313.07,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,221,0.0,2012,7,11,2,0,5234938.62,183.0,5123547.94,162.0,,,,
2012-07-12,5734632.02,4458811.27,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,246,0.0,2012,7,12,3,0,5582884.78,221.0,2751773.45,97.0,,,,
2012-07-13,5309511.71,4143402.78,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,201,0.0,2012,7,13,4,0,5734632.02,246.0,3054029.42,93.0,,,,
2012-07-14,3820831.41,3075464.87,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,157,0.0,2012,7,14,5,1,5309511.71,201.0,2667930.94,73.0,,,,
2012-07-15,3948841.28,3154482.05,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,149,0.0,2012,7,15,6,1,3820831.41,157.0,2360851.9,88.0,,,,
2012-07-16,3503801.49,2708219.59,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,140,0.0,2012,7,16,0,0,3948841.28,149.0,3548386.46,137.0,,,,
2012-07-17,4476729.49,3463061.65,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,185,0.0,2012,7,17,1,0,3503801.49,140.0,5234938.62,183.0,,,,
2012-07-18,5184141.46,4072012.16,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,225,0.0,2012,7,18,2,0,4476729.49,185.0,5582884.78,221.0,5123547.94,162.0,,
2012-07-19,6421487.11,5007270.91,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,263,0.0,2012,7,19,3,0,5184141.46,225.0,5734632.02,246.0,2751773.45,97.0,,
2012-07-20,5171470.46,4213989.64,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,231,0.0,2012,7,20,4,0,6421487.11,263.0,5309511.71,201.0,3054029.42,93.0,,
2012-07-21,3442157.02,2746075.45,0.0,0.0,0.0,0.004487291894852137,0.0,0.0,171,0.0,2012,7,21,5,1,5171470.46,231.0,3820831.41,157.0,2667930.94,73.0,,
