Date,Revenue,COGS
2023-01-01,1588604.693193347,1393677.7703421684
2023-01-02,391005.6714393468,298644.40245271387
2023-01-03,1027768.3223156267,763006.7199307819
2023-01-04,640965.6685091567,466541.8025901441
2023-01-05,708033.1682946284,528268.9624692447
2023-01-06,1104060.952478601,870125.637567898
2023-01-07,1202036.1004840916,866963.4266652016
2023-01-08,1322338.5270432846,1079766.5910311416
2023-01-09,1924452.8664808602,1435264.4124666913
2023-01-10,1358570.9389059746,1020873.6433683146
2023-01-11,1400884.0941209309,1080653.0482856934
2023-01-12,1029335.967238223,753624.8054080401
2023-01-13,1094207.2578710292,857092.2862317697
2023-01-14,1113945.802681461,883641.0025087529
2023-01-15,1624816.4390399458,1229550.938014581
2023-01-16,1091154.1679845785,843648.0334372495
2023-01-17,1479434.7011740815,1113127.4401573606
2023-01-18,1484734.5989734482,1114706.1205263538
2023-01-19,1029028.5434145853,783696.1876541369
2023-01-20,1513717.8783841787,1055225.5035528978
2023-01-21,1457311.2570360564,1088537.3272188038
2023-01-22,1626339.5304577632,1245914.0973975034
2023-01-23,2063216.720679158,1600711.866547639
2023-01-24,2572652.7080899794,1867170.7674618345
2023-01-25,2266310.8503958555,1731306.6101503205
2023-01-26,1488868.5238473397,1056261.2794375452
2023-01-27,2909229.919394798,2154757.8212635606
2023-01-28,3074074.6547798864,2203788.3465867913
2023-01-29,3564477.4820669503,2719110.3804849517
2023-01-30,2795996.5426592883,2146623.393173753
2023-01-31,3077596.5636913483,2439047.598864698
2023-02-01,2895002.3302410445,2114042.3558662087
2023-02-02,1064121.522143517,832693.64053353
2023-02-03,1107135.091174161,855247.2900939285
2023-02-04,1342312.974141418,1035878.7993100785
2023-02-05,1371909.2031945102,1041906.3065884114
2023-02-06,1810526.0738546401,1403418.2436764769
2023-02-07,2384261.612989042,1729153.4352975574
2023-02-08,1903397.9808021616,1443822.1622186059
2023-02-09,1724100.972558373,1286858.3872085256
2023-02-10,2125535.5677488158,1494655.0985841001
2023-02-11,2331894.365315355,1700955.6844479726
2023-02-12,2771277.9567922857,2209535.667072382
2023-02-13,2778637.403501587,2240668.7838943666
2023-02-14,3265157.4178496087,2498280.0574613772
2023-02-15,3576488.5276953266,2845140.314133459
2023-02-16,2652303.6330778715,2093300.6383867546
2023-02-17,2487527.798498887,2063096.875456022
2023-02-18,2800655.6098443996,2247710.8672118573
2023-02-19,3672303.639578498,3045634.3263446786
2023-02-20,3624489.867444787,2886378.151371266
2023-02-21,4089049.880288606,3339860.5645592827
2023-02-22,3698188.912595608,3001511.7231916133
2023-02-23,3105212.4054383202,2534281.9981028866
2023-02-24,3301399.7316236226,2651088.610766454
2023-02-25,7070654.2400449235,5308675.857155304
