Date,Revenue,COGS
2023-01-01,2497042.464378263,2353186.2293866007
2023-01-02,0.0,25390.52891944337
2023-01-03,471344.8884810504,438466.62605385267
2023-01-04,0.0,0.0
2023-01-05,84532.98510205641,114031.46813856805
2023-01-06,530996.445311659,541380.3806502754
2023-01-07,560746.8642740684,486700.9000453519
2023-01-08,857980.2545399971,725188.3031987147
2023-01-09,1256770.393101551,918873.5546952258
2023-01-10,981661.6193369029,673465.3115359673
2023-01-11,788971.9683483805,543311.6969057218
2023-01-12,446199.8737653231,441598.5492721669
2023-01-13,771354.3065761001,651453.1813003611
2023-01-14,696000.5133763927,646116.9532976724
2023-01-15,1004965.9776419309,819679.9402095021
2023-01-16,369716.8276288493,323237.89203576325
2023-01-17,1008743.0611874257,843352.7190553001
2023-01-18,1015335.931550783,777800.9532022905
2023-01-19,322538.04411878146,418008.4340388256
2023-01-20,1114818.222941558,692077.2076811288
2023-01-21,1060258.691032855,746558.2875636714
2023-01-22,1126817.2139457464,970983.3670266487
2023-01-23,595915.4096388405,360229.3598510509
2023-01-24,1128515.2758463514,635330.2913975965
2023-01-25,522303.37569415616,437723.3850498693
2023-01-26,0.0,0.0
2023-01-27,1136736.5648329626,780619.7576295591
2023-01-28,1446153.5830595864,939926.1479675202
2023-01-29,1954294.0538894187,1509808.0038203695
2023-01-30,1509420.2990818685,1039424.6130106284
2023-01-31,1742565.5961941371,1377716.8137482845
2023-02-01,2495071.7422070047,1922791.7696016496
2023-02-02,423162.487050181,540301.0028392852
2023-02-03,151858.5386477079,400846.6282820103
2023-02-04,614050.1567978155,428432.9432567338
2023-02-05,494503.19592671003,415368.3154903031
2023-02-06,981153.599544085,753996.3499227866
2023-02-07,1706034.8156050858,1276909.1945787347
2023-02-08,1184046.026060077,851890.5247464869
2023-02-09,868339.432461314,600510.5245119664
2023-02-10,1205027.7077855114,749141.6192079206
2023-02-11,1409340.1507841758,928666.3266012854
2023-02-12,1656045.8527319378,1407584.2460610925
2023-02-13,1495861.90696855,1294382.8828673046
2023-02-14,2223763.683231583,1765551.2900600613
2023-02-15,2581453.4452691358,2137023.6142807547
2023-02-16,1563612.7418227817,1317126.7824112498
2023-02-17,1391202.6549870733,1259223.579114397
2023-02-18,1880758.522461241,1530159.9360954594
2023-02-19,2872979.931128621,2445231.9677364677
2023-02-20,2473061.0379087613,2023330.2235862343
2023-02-21,2838220.967635038,2354149.38253761
2023-02-22,2653747.845264988,2176486.542799629
2023-02-23,2042437.8091338123,1706055.7394940043
2023-02-24,1956452.16898819,1680883.5700190053
2023-02-25,6176964.390370606,4776756.627995848
2023-02-26,6009701.607206332,5047227.6565879425
2023-02-27,6426596.730841208,5078366.198898803
2023-02-28,4531295.985579329,3761552.7372493735
2023-03-01,6091107.923674763,4936381.876743919
2023-03-02,487212.06246027,446305.51449642563
2023-03-03,404719.8550933745,301622.47014978144
2023-03-04,1306311.516140997,1207900.9796975723
2023-03-05,1898676.6110243076,1340004.7267102776
2023-03-06,2916043.07257728,2365985.1389300833
2023-03-07,3756040.910746014,3171636.616012439
2023-03-08,3927723.729123691,3210357.304502833
2023-03-09,3419532.155441663,2825119.581197766
2023-03-10,3211894.704507395,2558603.846334032
2023-03-11,3387460.741939133,2975584.644664081
2023-03-12,4132821.4395021107,3373410.4136686544
2023-03-13,4876835.871123755,3988736.655758516
2023-03-14,4774059.688562004,3919354.86683732
2023-03-15,4428989.426322119,3680380.3988625156
2023-03-16,5184146.2190943705,4473239.592302376
2023-03-17,4509128.23584593,3543916.540553947
2023-03-18,4715508.4504585,3845870.4774184152
2023-03-19,4355184.506984731,3688210.0291735483
2023-03-20,4230775.482031206,3680908.1148152645
2023-03-21,4798864.177855243,4339098.661564803
2023-03-22,5312504.865883869,4919861.182321699
2023-03-23,5145051.523466885,4955935.4871584885
2023-03-24,4117282.2321122396,4169878.8308201386
2023-03-25,4375079.885567133,4001953.3409190024
2023-03-26,4863781.476264085,4509221.322103507
2023-03-27,4996736.585606761,4645580.753969956
