Date,Revenue,COGS
2023-01-01,2409361.2594383536,2335873.632793297
2023-01-02,822244.1976901011,721780.556374528
2023-01-03,1112818.9112203273,922262.7906240893
2023-01-04,917801.9231155361,749710.1383494225
2023-01-05,1059233.3779721265,857882.0698990307
2023-01-06,1252033.6870572984,1038387.007650994
2023-01-07,1481813.9946753648,1215572.3603319637
2023-01-08,1534061.08388927,1293450.1020137426
2023-01-09,2054551.8914370905,1699010.1722595042
2023-01-10,1561320.6588741662,1253169.37009474
2023-01-11,1668690.8591633374,1372900.7021208121
2023-01-12,1298630.8146448098,1041440.8170941117
2023-01-13,1562054.7662581939,1281271.6477043289
2023-01-14,1474823.426466416,1228229.1656635753
2023-01-15,1804881.8164982973,1513151.8512476487
2023-01-16,1590041.9286992117,1291435.3815940756
2023-01-17,1758445.1353059378,1467510.3678062772
2023-01-18,1822853.5112481818,1512437.6408763195
2023-01-19,1377825.9946622858,1127691.909420976
2023-01-20,1605966.3637098896,1263194.7335188636
2023-01-21,1753858.4018756233,1422746.2806045813
2023-01-22,1748801.1693936177,1446249.4218380563
2023-01-23,1846486.3527054656,1510019.3173566754
2023-01-24,2188128.906755911,1733247.1454044709
2023-01-25,2109315.256871729,1723954.2453267851
2023-01-26,1785691.7298959047,1423279.703138334
2023-01-27,2582928.3413731395,2088116.8219069212
2023-01-28,3458381.4181938507,2816219.3262626114
2023-01-29,3533933.047575995,2892678.9120651577
2023-01-30,3036705.382296521,2480150.616819053
2023-01-31,3168437.054127399,2613360.3759908695
2023-02-01,2744295.38716664,2187864.844086972
2023-02-02,1292763.3497884427,1076140.3047312996
2023-02-03,1194787.7641321006,986746.5004468426
2023-02-04,1380498.3292719657,1122846.2408802141
2023-02-05,1471886.5019080034,1179416.1814238047
2023-02-06,1704025.0081289792,1405765.2404489198
2023-02-07,2065066.1010136318,1642600.223558255
2023-02-08,1924426.7452769917,1566729.174731219
2023-02-09,1729566.845926967,1398551.9925132087
2023-02-10,1869410.7032984984,1468949.8122370183
2023-02-11,2256861.130264511,1806191.7235987294
2023-02-12,2265923.702270302,1842522.5293312618
2023-02-13,2323317.05438406,1907212.7461004434
2023-02-14,2637213.3016682337,2101157.756005471
2023-02-15,2741809.6299735876,2215550.4002328436
2023-02-16,2338421.4728086563,1895293.4015625017
2023-02-17,2256315.741700896,1870573.549095795
2023-02-18,2421572.031099801,1986317.346140695
2023-02-19,2868335.456900488,2387710.663620645
2023-02-20,2936120.243748588,2387674.4608164895
2023-02-21,3120188.047844907,2579841.559399599
2023-02-22,3013547.3325639237,2482545.4853524114
2023-02-23,2889833.118389169,2375531.9187037004
2023-02-24,3019775.8828780046,2469107.35400399
2023-02-25,5422844.951188935,4244144.643829264
2023-02-26,5009330.897674931,4202769.564733259
2023-02-27,5023718.258304531,4096966.061304218
2023-02-28,3912424.2943704743,3202746.8005732866
2023-03-01,3911469.182545046,3271036.9769485085
2023-03-02,1269732.3276223373,1054707.9772944052
2023-03-03,1210269.1461591048,962375.3446792276
2023-03-04,1768542.147996471,1482085.5253251423
2023-03-05,2172152.2161108935,1708929.3138634055
2023-03-06,2676699.45272108,2206532.5413926397
2023-03-07,3099515.691545124,2563971.8044989943
2023-03-08,3390014.3226574324,2713889.938607821
2023-03-09,3125085.7426806446,2521029.1640329612
2023-03-10,3160428.2423364175,2550435.736209603
2023-03-11,3399821.0948708085,2836474.7824820583
2023-03-12,3608113.26059978,2954146.1368974242
2023-03-13,3944440.4214773937,3226311.600910781
2023-03-14,4048661.1345624262,3337149.8101758338
2023-03-15,3992500.9130190844,3269497.1592103518
2023-03-16,4373945.545104194,3619234.5237319646
2023-03-17,4145296.1419453556,3364968.508532004
2023-03-18,4073799.5302022016,3350321.8685726537
2023-03-19,3890606.4912643265,3367573.874053564
2023-03-20,3814410.9537614314,3400796.836167701
2023-03-21,4097214.1333282758,3737550.599548623
2023-03-22,4488357.047420877,4105836.215679053
2023-03-23,4431330.604720477,4085044.0978355687
2023-03-24,3946083.22469936,3715151.3205842753
2023-03-25,4102560.3172468976,3745455.619480449
2023-03-26,4611631.365681607,4203321.491497646
2023-03-27,4551204.932004363,4220848.090314807
2023-03-28,4516031.607123867,4151615.8680132665
2023-03-29,8451047.295895476,7779419.547240743
2023-03-30,8892837.121535357,8256428.702374631
2023-03-31,7982957.895109312,7500581.57455534
2023-04-01,7870075.763092933,7279121.904841142
2023-04-02,6651465.430947041,6131472.191199673
2023-04-03,3707354.0575108347,3366272.5500010075
2023-04-04,2620155.234605627,2383823.501534017
2023-04-05,2653347.316740822,2388451.115320114
2023-04-06,2182316.6049226187,2010657.8258449994
2023-04-07,2541422.6891821376,2307161.5804790175
2023-04-08,3261660.744520196,3038636.087936099
2023-04-09,3455974.1875379765,3171649.330532441
2023-04-10,3706509.7913403884,3439178.797565791
2023-04-11,3859702.157821857,3571177.5502506588
2023-04-12,4145052.2256475342,3798729.886841149
2023-04-13,4181206.027099448,3867013.0668927385
2023-04-14,4456377.782240635,3892826.24226763
2023-04-15,4558321.335193645,3958369.2223980813
2023-04-16,4248133.938442391,3624025.3462467315
2023-04-17,3899834.4239488672,3183071.903672101
2023-04-18,4236964.456714172,3409688.252456083
2023-04-19,4500992.209400846,3648402.2062430577
2023-04-20,3462174.0091027617,2788027.171869849
2023-04-21,4436040.724186193,3636172.970211518
2023-04-22,4593658.498794338,3743766.1274812403
2023-04-23,4803004.052034009,3904412.8385788337
2023-04-24,4691364.941335208,3764809.4458733387
2023-04-25,5269366.153231176,4301002.260832142
2023-04-26,5071742.155514689,4084414.2423303155
2023-04-27,5496487.514398539,4467896.436604949
2023-04-28,6913837.131276665,5548583.781842282
2023-04-29,7388252.581215014,5968087.319808885
2023-04-30,6299535.576530082,5111218.939509163
2023-05-01,5318677.958771592,4245867.388850655
2023-05-02,5529635.873423488,4467430.689659342
2023-05-03,2991956.5065346505,2429749.2684023175
2023-05-04,2906619.1341045992,2348156.2043613214
2023-05-05,2581462.9348305734,2048120.5508103445
2023-05-06,3241980.996704421,2630816.2032035757
2023-05-07,2727415.224109711,2153062.672673817
2023-05-08,2999303.826669687,2403970.387431259
2023-05-09,3448372.821285013,2760747.4602413536
2023-05-10,3918488.961612949,3127324.259003294
2023-05-11,4250291.002465307,3416538.7969390415
2023-05-12,3652536.319508487,2999169.555628867
2023-05-13,4217854.18953829,3466288.2428068775
2023-05-14,4348938.123152537,3486927.2903234893
2023-05-15,4251109.78808069,3393531.9423672566
