Date,Revenue,COGS
2023-01-01,2648897.7191903978,2136985.9132526284
2023-01-02,611839.0804186467,493598.33207592036
2023-01-03,1393236.9752253015,1123987.4489337222
2023-01-04,908374.094127268,732826.5750128271
2023-01-05,1113684.675498228,898459.9315040496
2023-01-06,1452276.4869210573,1171617.3003640391
2023-01-07,1841187.3233653184,1485369.308594352
2023-01-08,1913790.087670555,1543941.2509760729
2023-01-09,2881210.399947045,2324403.0878193546
2023-01-10,1840132.3466470172,1484518.2110342288
2023-01-11,1991218.3695406623,1606406.1572067086
2023-01-12,1315690.646316427,1061427.3088036727
2023-01-13,1736866.9481330155,1401209.3311359563
2023-01-14,1639594.09102021,1322734.906137986
2023-01-15,2315116.1059086355,1867709.1493676605
2023-01-16,1818787.039826633,1467297.984047451
2023-01-17,2087305.3395149182,1683923.8732719673
2023-01-18,2266357.9462499814,1828373.7308681828
2023-01-19,1400991.0933566338,1130243.0476668505
2023-01-20,1773003.3268577997,1430362.1865789471
2023-01-21,1972228.6764631886,1591086.3106495696
2023-01-22,2002221.9662427506,1615283.2576614073
2023-01-23,2148651.5571884257,1733414.6490198823
2023-01-24,2771379.4283490754,2235797.462376238
2023-01-25,2555824.7280940353,2061899.7106271817
2023-01-26,1799404.256614651,1451661.0138528093
2023-01-27,3131529.6391045083,2526346.96961601
2023-01-28,4371118.89443424,3526379.8352370276
2023-01-29,4377475.502054275,3531507.9988658754
2023-01-30,3543687.2637932487,2858853.2161269924
2023-01-31,4118610.132797797,3322669.5663653146
2023-02-01,3445658.226015142,2793640.198663439
2023-02-02,1185314.3984514216,961018.6891338864
2023-02-03,1273174.6023322663,1032253.205538072
2023-02-04,1486866.4561668732,1205508.390423216
2023-02-05,1525823.9415509761,1237093.9947022966
2023-02-06,1992952.5933610934,1615828.4175743535
2023-02-07,2606345.74297061,2113149.871976312
2023-02-08,2341615.5689433333,1898514.2907750213
2023-02-09,1886283.221120905,1529343.9705660925
2023-02-10,2095236.8646485552,1698757.5513468897
2023-02-11,2785393.6507023247,2258316.745681128
2023-02-12,2771277.9567922857,2246872.148639732
2023-02-13,2778637.403501587,2252838.975532718
2023-02-14,3265157.4178496087,2647295.3552383743
2023-02-15,3576488.5276953266,2899713.6296315813
2023-02-16,2652303.6330778715,2150411.202273102
2023-02-17,2487527.798498887,2016815.7133843137
2023-02-18,2800655.6098443996,2270690.701475045
2023-02-19,3672303.639578498,2977397.7557516065
2023-02-20,3624489.867444787,2938631.7298950762
2023-02-21,4089049.880288606,3315283.574460926
