Date,Revenue,COGS
2023-01-01,2312351.0028328155,2396765.005774548
2023-01-02,0.0,0.0
2023-01-03,575148.514107904,469162.6056232772
2023-01-04,0.0,0.0
2023-01-05,0.0,0.0
2023-01-06,390648.206171895,292032.7470256586
2023-01-07,373676.2835295851,242653.47149952466
2023-01-08,499906.00604537013,409748.4290587406
2023-01-09,1153699.368229007,901920.1918808736
2023-01-10,916067.4702292129,751429.4706760861
2023-01-11,812591.3661822245,544275.4188394023
2023-01-12,308722.13702001586,162099.27796500747
2023-01-13,463937.4570408659,446054.3233409013
2023-01-14,447667.18932742474,383963.4718095715
2023-01-15,695934.0290377947,246896.9380543126
2023-01-16,128879.94910068868,66429.4464381861
2023-01-17,812967.9095160149,549720.5441782139
2023-01-18,442111.6759742624,369145.775231507
2023-01-19,0.0,0.0
2023-01-20,572057.0469772427,287298.3222822497
2023-01-21,629451.9924582556,353275.47167233226
2023-01-22,654504.5853250005,407445.94485739036
2023-01-23,470540.83699117927,285032.5934167935
2023-01-24,972640.3656508303,535402.2018981844
2023-01-25,688037.0635517349,220403.6003139147
2023-01-26,0.0,0.0
2023-01-27,712179.8470076714,378853.3598221871
2023-01-28,825570.6300393846,643616.7902094056
2023-01-29,1894397.4103026208,1633272.3500399669
2023-01-30,1400745.953241135,1343497.9368214912
2023-01-31,2389149.972318166,2151161.5761777572
2023-02-01,3970319.3027223125,2997400.8881977135
2023-02-02,551189.2706788455,443427.5245189088
2023-02-03,109359.93444334739,53720.17216202465
2023-02-04,501394.22537993756,319473.183544053
2023-02-05,343642.4585741516,366426.7854761593
2023-02-06,695468.0412565942,654015.6183425249
2023-02-07,1707433.180467569,1221043.6120236514
2023-02-08,956585.6411787588,820111.7970128395
2023-02-09,759024.6540917129,651735.2188616833
2023-02-10,1125716.7694165236,757935.975061839
2023-02-11,1303840.3386413902,1034334.5072982418
2023-02-12,1596430.7724053026,1369813.334825146
2023-02-13,1593386.5534260813,1407263.4448305243
2023-02-14,2555226.2652194463,1993303.068539702
2023-02-15,2502957.034419171,2141097.249020133
2023-02-16,1646089.1261261993,1369892.7465143348
2023-02-17,1401122.0426885912,1229846.8787330843
2023-02-18,2028790.8815038798,1646943.058050339
2023-02-19,3028033.421600311,2649092.2904561334
2023-02-20,2965683.792738602,2379832.6337957312
2023-02-21,3497860.9230050924,2867004.395307531
2023-02-22,2440700.0473842323,2151594.165489073
2023-02-23,1305120.3999564105,1309256.4169055957
2023-02-24,1343971.5733107768,1262001.163318358
2023-02-25,6488110.070980174,5022028.46445799
2023-02-26,6068045.452419556,5259233.470328515
2023-02-27,6863638.251530378,5398955.082783744
2023-02-28,5874360.002849167,4712852.674767358
2023-03-01,6621592.986120442,5715398.6908057155
2023-03-02,158048.54449010035,161339.9978227414
2023-03-03,68794.39239121554,125470.50904947042
2023-03-04,1215028.9094798395,1030073.6800054694
2023-03-05,1621507.675456104,1238301.5259303856
2023-03-06,2974947.918809881,2476166.3797798483
2023-03-07,3729876.1615844625,3097790.3603345803
2023-03-08,4081556.9462570488,3290420.886948239
2023-03-09,3303186.6670878916,2687226.6099254163
2023-03-10,3295948.7284023305,2726285.100414275
2023-03-11,3772086.023812156,3228484.467050204
2023-03-12,4022281.757400458,3307682.9344734433
2023-03-13,4737174.55224529,3963121.107571414
2023-03-14,4750189.0665770285,3969038.029091122
2023-03-15,4583943.039773401,3841782.5466058063
2023-03-16,5222838.864863081,4400827.958342674
2023-03-17,4506582.926255239,3721863.3576325774
2023-03-18,4560286.264470205,3779472.10082222
2023-03-19,4344350.36238405,3871954.3231173935
2023-03-20,4074540.266426319,3761587.144076879
