Date,Revenue,COGS
2023-01-01,2084624.2141375025,1681760.8878453528
2023-01-02,746179.1104421464,601976.5263966499
2023-01-03,1236266.8779561904,997352.5531293991
2023-01-04,983356.6147852235,793318.3747623469
2023-01-05,1060259.566767605,855359.4735497026
2023-01-06,1306673.0889735355,1054152.4363636766
2023-01-07,1446013.4867588102,1166564.6541163344
2023-01-08,1488583.6521619929,1200907.9370344987
2023-01-09,2121957.8285614727,1711879.607619559
2023-01-10,1580139.360454195,1274770.078815534
2023-01-11,1714098.4344395925,1382840.938624593
2023-01-12,1294910.22950894,1044662.8042071378
2023-01-13,1465835.5265420477,1182555.9925065755
2023-01-14,1393371.3724132292,1124095.8732399163
2023-01-15,1751035.04521428,1412639.3775514562
2023-01-16,1431836.7914425596,1155127.6711147553
2023-01-17,1710242.4175391728,1379730.114926961
2023-01-18,1844935.0667926157,1488392.7831711913
2023-01-19,1324627.4587477527,1068637.0406618589
2023-01-20,1654976.7976350612,1335144.8331447875
2023-01-21,1685543.7295807344,1359804.5633057617
2023-01-22,1709720.9076655442,1379309.3892622844
2023-01-23,1895723.6196896513,1529366.211971086
2023-01-24,2326532.803374848,1876919.5169422226
2023-01-25,2170082.712575499,1750704.1339385002
2023-01-26,1605035.538349824,1294854.9545249108
2023-01-27,2541187.8808960123,2050091.502235441
2023-01-28,3052373.009985879,2462487.727282269
2023-01-29,3229204.7032727357,2605145.873285021
2023-01-30,2750892.4161461038,2219269.660579585
2023-01-31,3068995.268330049,2475897.656880756
2023-02-01,3033135.104461293,2459178.36302638
2023-02-02,1348952.243691886,1093691.529125655
2023-02-03,1290052.6364603357,1045937.4282675904
2023-02-04,1469093.747615093,1191098.7915040557
2023-02-05,1442456.6778419786,1169502.2244589154
2023-02-06,1859584.7053702022,1507697.5848965337
2023-02-07,2334086.524727535,1892409.959120778
2023-02-08,2114655.9052573238,1714501.9487611605
2023-02-09,1852591.050209324,1502027.3312290323
2023-02-10,2038813.0288386438,1653010.7344713088
2023-02-11,2340834.8985021515,1897881.3457226283
2023-02-12,2472368.276982089,2004524.8110591555
2023-02-13,2539613.41761373,2059045.229426529
2023-02-14,2957461.820114975,2397824.649091946
2023-02-15,3264678.7766192546,2646907.2867492368
2023-02-16,2531449.9536955776,2052426.5285960457
2023-02-17,2358297.5002799807,1912039.5190235865
2023-02-18,2602470.3481042543,2110007.8137180074
2023-02-19,3253634.0665737144,2637952.554752649
2023-02-20,3264880.2807395863,2647070.66047171
2023-02-21,3598946.8038889314,2917922.151502219
2023-02-22,3384753.449189131,2744260.3641960663
2023-02-23,2892841.1720763133,2345432.0935385576
2023-02-24,2966016.2580262055,2404760.3403469143
2023-02-25,5985158.450115207,4852593.654057472
2023-02-26,5458679.681492061,4425739.87016684
2023-02-27,5842088.825657929,4736596.9335836135
2023-02-28,4547192.700781941,3686732.5447609783
2023-03-01,5266486.972038297,4392113.122555303
2023-03-02,1488734.987704684,1241566.2490425322
2023-03-03,1520764.0173254737,1268277.6264839042
2023-03-04,2106974.0823996686,1757161.570003825
2023-03-05,2503876.176156187,2088167.5904522135
