Date,Revenue,COGS
2023-01-01,2084624.2141375025,1925959.3008540815
2023-01-02,746179.1104421464,682546.2341913985
2023-01-03,1236266.8779561904,1066893.9312654221
2023-01-04,983356.6147852235,873666.299581339
2023-01-05,1060259.566767605,938473.7102502956
2023-01-06,1306673.0889735355,1154238.156811439
2023-01-07,1446013.4867588102,1216330.2581151947
2023-01-08,1488583.6521619929,1294435.0309207167
2023-01-09,2121957.8285614727,1770332.105682026
2023-01-10,1580139.360454195,1327449.740578143
2023-01-11,1714098.4344395925,1468929.627662072
2023-01-12,1294910.22950894,1125035.8378963817
2023-01-13,1465835.5265420477,1286088.6531132285
2023-01-14,1393371.3724132292,1222617.035096329
2023-01-15,1751035.04521428,1475951.1687692213
2023-01-16,1431836.7914425596,1242902.5038919647
2023-01-17,1710242.4175391728,1468585.9263122594
2023-01-18,1844935.0667926157,1591411.7954338023
2023-01-19,1324627.4587477527,1185181.971217205
2023-01-20,1654976.7976350612,1357053.2655972736
2023-01-21,1685543.7295807344,1410961.3522564084
2023-01-22,1709720.9076655442,1463413.4229363285
2023-01-23,1895723.6196896513,1611685.5245357463
2023-01-24,2326532.803374848,1877652.2462327245
2023-01-25,2170082.712575499,1843232.8693723087
2023-01-26,1605035.538349824,1370822.2762600128
2023-01-27,2541187.8808960123,2092678.5005502678
2023-01-28,3052373.009985879,2474660.744042161
2023-01-29,3229204.7032727357,2676840.6514081797
2023-01-30,2750892.4161461038,2316284.1308549307
2023-01-31,3068995.268330049,2613927.534857628
2023-02-01,3033135.104461293,2499092.084436264
2023-02-02,1348952.243691886,1243844.218611017
2023-02-03,1290052.6364603357,1190375.2088976526
2023-02-04,1469093.747615093,1275757.029543386
2023-02-05,1442456.6778419786,1259724.0292491969
2023-02-06,1859584.7053702022,1629161.7069837023
2023-02-07,2334086.524727535,1935128.3358014887
2023-02-08,2114655.9052573238,1825633.2303793246
2023-02-09,1852591.050209324,1603123.4669698123
2023-02-10,2038813.0288386438,1678592.7515599912
2023-02-11,2340834.8985021515,1932358.5840870298
2023-02-12,2472368.276982089,2134297.988397497
2023-02-13,2539613.41761373,2224518.4171059555
2023-02-14,2957461.820114975,2479183.650122667
2023-02-15,3264678.7766192546,2810986.2206956837
2023-02-16,2531449.9536955776,2201090.903362314
