Date,Revenue,COGS
2023-01-01,1869085.216481015,1753324.6561004105
2023-01-02,1493924.0938995504,1437964.1628671505
2023-01-03,1794056.625148497,1658630.5236918966
2023-01-04,1875381.6295322147,1787382.8999709375
2023-01-05,1831525.1002418618,1745677.0833304608
2023-01-06,1921120.8624601928,1821594.2536260313
2023-01-07,1877331.8975544693,1690911.0743145794
2023-01-08,1798320.0499789715,1680673.6888875375
2023-01-09,2326586.232480095,2095846.3870050495
2023-01-10,2023278.9198833653,1873868.0021908286
2023-01-11,2322103.6305722743,2185230.0379698346
2023-01-12,2057316.6203144235,1946381.9407722487
2023-01-13,1975869.7859169976,1896038.4969240334
2023-01-14,1891983.3119253498,1778727.17499606
2023-01-15,2011926.9225502894,1839870.484821898
2023-01-16,1975875.4242917416,1889610.416621239
2023-01-17,2147531.7874571136,2006298.917365517
2023-01-18,2430791.6712327064,2293048.0892412877
2023-01-19,2122303.0290033687,2049444.567867688
2023-01-20,2245300.8669341626,2076066.0245506638
2023-01-21,2122362.6023748433,1960652.6501107905
2023-01-22,2075056.3848321857,1932356.6869559994
2023-01-23,2527845.241698819,2357714.552307344
2023-01-24,2757961.7773547573,2469624.59779792
2023-01-25,2888342.5851780833,2692139.849204394
2023-01-26,2417363.1398205105,2273754.0497317826
2023-01-27,3002732.658200063,2706793.1023720615
2023-01-28,2989440.864518954,2597755.4725544895
2023-01-29,3106493.277209766,2753259.4509423636
2023-01-30,2960173.6937486716,2720242.534751311
2023-01-31,3074254.691595136,2841867.030279517
2023-02-01,3269451.113334851,2974299.2372134607
2023-02-02,2270129.759569363,2249997.1662521656
2023-02-03,2161361.0148503343,2137998.7557533113
2023-02-04,2182256.5874719154,2093278.011675838
2023-02-05,2072577.0543465337,1998962.036436734
2023-02-06,2533377.000406136,2438212.1791335833
2023-02-07,2791408.202683678,2573223.9652761123
2023-02-08,2840411.726849582,2729980.655540782
2023-02-09,2665259.6053775554,2565106.4755620537
2023-02-10,2730237.023898252,2538663.5789644644
2023-02-11,2735743.8463310795,2505293.76700449
2023-02-12,2834629.3477184093,2667081.3391213594
2023-02-13,3083371.2062893966,2946409.6683734385
2023-02-14,3295677.091553656,3044091.2931381883
2023-02-15,3743719.7885303376,3521431.2466493314
2023-02-16,3194501.0562380687,3056354.537123559
2023-02-17,2970908.910033878,2903845.386366491
2023-02-18,3028821.0318677975,2858148.671146137
2023-02-19,3347510.1056845025,3169435.291200149
2023-02-20,3572235.979320785,3358836.5712427986
2023-02-21,3771444.3092128495,3551185.563467306
2023-02-22,3871332.7692146515,3690408.466329531
