Date,Revenue,COGS
2023-01-01,1376069.015298161,1236735.442398376
2023-01-02,338693.9441756092,265013.9975300577
2023-01-03,890265.6207067979,677084.3830671507
2023-01-04,555212.3823405916,414004.43840185413
2023-01-05,613307.0793937566,468780.49066128867
2023-01-06,956351.2396859516,772140.6183120086
2023-01-07,1041218.5235466057,769334.5046012739
2023-01-08,1145425.9719839622,958173.8627559715
2023-01-09,1666984.853005048,1273639.004570504
2023-01-10,1176810.9348557172,905912.8615174652
2023-01-11,1213463.1127576723,958960.4958846654
2023-01-12,891623.5341098094,668758.9677848376
2023-01-13,947815.8476568412,760574.9552343355
2023-01-14,964913.619076684,784134.015347537
2023-01-15,1407436.0770114125,1091090.9649534442
2023-01-16,945171.2234708079,748644.6623923506
2023-01-17,1281504.6192204421,987777.9400978741
2023-01-18,1286095.456183976,989178.8449598877
2023-01-19,891357.239795003,695444.0057592371
2023-01-20,1311201.1309498388,936396.3519674544
2023-01-21,1262341.0185333386,965956.9246157763
2023-01-22,1408755.3976180463,1105611.4657385757
2023-01-23,1787183.8181873756,1420455.3882932994
2023-01-24,2228463.5654759826,1656908.299946038
2023-01-25,1963106.4629394256,1536343.8321225436
2023-01-26,1289676.3129917812,937315.4889259282
2023-01-27,2520010.904922029,1912110.1190323834
2023-01-28,2662801.451664318,1955619.3072515249
2023-01-29,3087594.4404649697,2412910.825515608
2023-01-30,2421926.754792709,1904891.7104903313
2023-01-31,2665852.172682914,2164385.9688398736
2023-02-01,2507686.7913897205,1875979.6302047637
2023-02-02,921755.2116065611,738923.8458289488
2023-02-03,959014.0966105311,758937.7244746053
2023-02-04,1162728.0848804072,919228.2838961532
2023-02-05,1188364.7042005735,924577.0323938768
2023-02-06,1568300.0574628003,1245379.039113934
2023-02-07,2065276.8709904102,1534433.1267136175
2023-02-08,1648746.850859365,1281233.0644389987
2023-02-09,1493437.5667831735,1141945.0110176178
2023-02-10,1841165.1735799995,1326341.6938382846
2023-02-11,2019915.7139643966,1509410.7301355056
2023-02-12,2400515.2102723443,1960719.4208463675
2023-02-13,2406890.053951076,1988346.631257153
2023-02-14,2828319.7022048268,2216948.2486191676
