Date,Revenue,COGS
2023-01-01,2149565.7397686834,2112971.5418586526
2023-01-02,2596842.516359754,2577283.923281587
2023-01-03,2560344.9279813673,2554254.327453011
2023-01-04,3109797.5905552725,3108223.9973517307
2023-01-05,2955017.0321890954,2963085.204191677
2023-01-06,2738180.772441785,2773062.869684165
2023-01-07,2552627.6946248473,2514858.721963957
2023-01-08,2274301.572914658,2281580.7867439333
2023-01-09,2728719.598479329,2756428.3615434077
2023-01-10,2687986.900860756,2726862.3610133426
2023-01-11,3243323.1670236182,3289807.027653976
2023-01-12,3085297.273390624,3139139.0761364573
2023-01-13,2857532.3139629657,2934984.707616297
2023-01-14,2670020.8211692385,2673813.347483367
2023-01-15,2399037.406060633,2450190.0316292145
2023-01-16,2860596.680598905,2935572.799805228
2023-01-17,2815628.8737401455,2899470.3945736736
2023-01-18,3376848.743491965,3471390.057956222
2023-01-19,3215577.514592152,3315192.9480812387
2023-01-20,2976883.855484146,3096906.5455484297
2023-01-21,2787413.94771363,2832767.973002777
2023-01-22,2523773.239206608,2618799.2765144953
2023-01-23,2992473.76271848,3114717.238067049
2023-01-24,2943270.8466195352,3072078.4281340055
2023-01-25,3510374.319960311,3652973.088258467
2023-01-26,3345857.755793681,3491246.82002602
2023-01-27,3096235.397005327,3258828.3834805624
2023-01-28,2904807.0742580215,2991722.5985221877
2023-01-29,2648509.0723525826,2787408.521399776
2023-01-30,3124350.8448380553,3293861.676328869
2023-01-31,3070912.819498924,3244686.461694336
2023-02-01,3643899.896428657,3834556.118560713
2023-02-02,3476137.9969952093,3667300.6919708014
2023-02-03,3215586.9385265075,3420750.2214126945
2023-02-04,3022200.2008024123,3150677.2240415975
2023-02-05,2773244.9054985573,2956017.7662850567
2023-02-06,3256227.926957631,3473006.11459069
2023-02-07,3198554.792378314,3417294.4952546675
2023-02-08,3777425.472897003,4016139.148862958
2023-02-09,3606418.238196738,3843354.5639155824
2023-02-10,3334938.480047688,3582672.059344828
2023-02-11,3139593.327346804,3309631.849561007
2023-02-12,2897980.7386445324,3124627.0111703374
2023-02-13,3388105.0090772067,3652150.55285251
2023-02-14,3326196.765257703,3589902.528814999
2023-02-15,3910951.049365349,4197722.179165204
2023-02-16,3736698.479398266,4019408.4358603633
2023-02-17,3454290.0215688683,3744593.8972769603
2023-02-18,3256986.4538911954,3468586.475080417
2023-02-19,3022716.571790507,3293236.256055619
2023-02-20,3519982.0911967824,3831294.991114331
2023-02-21,3453838.7381370924,3762510.56237533
2023-02-22,4044476.6258336958,4379305.209467448
2023-02-23,3866978.7205997943,4195462.307805144
2023-02-24,3573641.563090049,3906515.735209093
2023-02-25,3374379.5804355866,3627541.1005998277
2023-02-26,3147452.4049364817,3461845.5009409
2023-02-27,3651859.1733163577,4010439.4293761514
2023-02-28,3581480.7110164813,3935118.5959356613
2023-03-01,4178002.202302042,4560888.239769694
2023-03-02,3997258.9618013226,4371516.179749926
2023-03-03,3692993.1046112305,4068437.573141226
2023-03-04,3491772.7069799774,3786495.7261192375
2023-03-05,3272188.2380824573,3630454.7458261806
2023-03-06,3783736.255435933,4189583.867637972
2023-03-07,3709122.683895871,4107726.629495992
2023-03-08,4311527.778770388,4742471.27007194
2023-03-09,4127539.2030028515,4547570.051694707
2023-03-10,3812344.646132411,4230359.411073358
2023-03-11,3609165.833524369,3945450.3516386473
2023-03-12,3396924.071228432,3799063.9907114613
2023-03-13,3915613.3375555086,4368728.305899792
2023-03-14,3836764.65677526,4280334.663056324
2023-03-15,4445053.355238735,4924054.300374186
2023-03-16,4257819.44420438,4723623.9236394875
2023-03-17,3931696.1876535914,4392281.249005492
2023-03-18,3726558.960068761,4104404.977158057
2023-03-19,3521659.904374407,3967673.2355967425
2023-03-20,4047490.4196750843,4547872.744161612
2023-03-21,3964406.6296546496,4452942.696616654
2023-03-22,4578578.93170708,5105637.33067643
2023-03-23,4388099.685405908,4899677.795584269
2023-03-24,4051047.7291747723,4554203.086937624
2023-03-25,3843952.086613152,4263359.602677467
2023-03-26,3646395.737520382,4136282.480482023
2023-03-27,4179367.50179466,4727017.182423434
2023-03-28,4092048.6025340385,4625550.730176986
2023-03-29,4712104.508175426,5287220.360978676
2023-03-30,4518379.9266074365,5075731.66752905
2023-03-31,4170399.2706959527,4716124.924869756
2023-04-01,3961345.2131575434,4422314.228196877
2023-04-02,3771131.5706663565,4304891.725367304
2023-04-03,4311244.583914235,4906161.620685254
2023-04-04,4219690.575413428,4798158.763737317
2023-04-05,4845630.084643773,5468803.391280922
2023-04-06,4648660.167808965,5251785.539473832
2023-04-07,4289750.812217134,4878046.762801889
2023-04-08,4078738.3397019343,4581268.853716288
2023-04-09,3895867.4038123316,4473500.970252585
2023-04-10,4443121.666033811,5085306.058947074
2023-04-11,4347332.548292817,4970766.797297649
2023-04-12,4979155.661112119,5650386.421583167
2023-04-13,4778940.409010493,5427839.411418613
2023-04-14,4409102.3537383145,5039968.600734022
2023-04-15,4196131.466246326,4740223.4792356985
2023-04-16,4020603.2369583063,4642110.215137866
2023-04-17,4574998.748153386,5264450.497208894
2023-04-18,4474974.521172207,5143374.83085798
2023-04-19,5112681.237580465,5831969.451885412
2023-04-20,4909220.650212022,5603893.2833633935
2023-04-21,4528453.895259495,5201890.438666155
2023-04-22,4313524.592790718,4899178.104755108
2023-04-23,4145339.0701042805,4810719.460023147
2023-04-24,4706875.830272961,5443594.935470716
2023-04-25,4602616.494051595,5315982.864418312
2023-04-26,5246206.814048812,6013552.482187659
2023-04-27,5039500.89141355,5779947.155308175
2023-04-28,4647805.436780675,5363812.276598287
2023-04-29,4430917.719335109,5058132.730274518
2023-04-30,4270074.903250256,4979328.704908428
2023-05-01,4838752.912392537,5622739.373732536
2023-05-02,4730258.4669309845,5488590.897978642
2023-05-03,5379732.3905171575,6195135.512489904
2023-05-04,5169781.132615078,5956001.027252956
2023-05-05,4767156.978301856,5525734.11453042
2023-05-06,4548310.8458795,5217087.355793928
2023-05-07,4394810.736396231,5147937.9497937085
2023-05-08,4970629.994512112,5801883.811994356
2023-05-09,4857900.439810374,5661198.931538973
2023-05-10,5513257.966985504,6376718.542792149
2023-05-11,5300061.373816607,6132054.899197738
2023-05-12,4886508.519823037,5687655.952462553
2023-05-13,4665703.9724238925,5376041.981313338
2023-05-14,4519546.569542206,5316547.19467899
2023-05-15,5102507.076631688,5981028.250256177
2023-05-16,4985542.412689763,5833806.965099305
2023-05-17,5646783.54345385,6558301.573094394
2023-05-18,5430341.615018135,6308108.771142517
2023-05-19,5005860.061344217,5849577.790394685
2023-05-20,4783097.098968282,5534996.606832747
2023-05-21,4644282.40268818,5485156.43956427
2023-05-22,5234384.158751263,6160172.688517998
2023-05-23,5113184.385569152,6006414.998659637
2023-05-24,5780309.119922196,6739884.60339664
2023-05-25,5560621.856219663,6484162.643087299
2023-05-26,5125211.602865399,6011499.628326817
2023-05-27,4900490.225512675,5693951.232352157
2023-05-28,4769018.235834155,5653765.684449551
2023-05-29,5366261.240870839,6339317.126779817
2023-05-30,5240826.358448542,6179023.032219968
2023-05-31,5913834.696390543,6921467.633698885
2023-06-01,5690902.097421192,6660216.515032082
2023-06-02,5244563.144386578,6173421.4662589505
2023-06-03,5017883.352057066,5852905.857871569
2023-06-04,4893754.06898013,5822374.929334831
2023-06-05,5498138.322990415,6518461.565041638
2023-06-06,5368468.331327931,6351631.065780298
2023-06-07,6047360.272858889,7103050.6640011305
2023-06-08,5821182.338622722,6836270.386976861
2023-06-09,5363914.68590776,6335343.304191083
2023-06-10,5135276.478601457,6011860.483390979
2023-06-11,5018489.902126105,5990984.174220114
2023-06-12,5630015.405109989,6697606.003303458
2023-06-13,5496110.30420732,6524239.099340629
2023-06-14,6180885.8493272355,7284633.694303376
2023-06-15,5951462.579824249,7012324.258921643
2023-06-16,5483266.22742894,6497265.142123215
2023-06-17,5252669.605145848,6170815.108910388
2023-06-18,5143225.73527208,6159593.419105393
2023-06-19,5761892.487229566,6876750.44156528
2023-06-20,5623752.27708671,6696847.132900962
2023-06-21,6314411.425795582,7466216.724605623
2023-06-22,6081742.821025778,7188378.130866424
2023-06-23,5602617.768950121,6659186.980055347
2023-06-24,5370062.731690239,6329769.734429798
2023-06-25,5267961.568418055,6328202.663990674
2023-06-26,5893769.56934914,7055894.8798271
2023-06-27,5751394.249966099,6869455.166461293
2023-06-28,6447937.002263929,7647799.754907868
2023-06-29,6212023.062227306,7364432.002811206
2023-06-30,5721969.310471301,6821108.817987482
2023-07-01,5487455.858234632,6488724.359949209
2023-07-02,5392697.401564029,6496811.908875954
2023-07-03,6025646.651468717,7235039.31808892
2023-07-04,5879036.222845488,7042063.200021624
2023-07-05,6581462.5787322745,7829382.785210113
2023-07-06,6342303.303428833,7540485.874755986
2023-07-07,5841320.851992483,6983030.655919614
2023-07-08,5604848.984779023,6647678.985468619
2023-07-09,5517433.234710004,6665421.153761237
2023-07-10,6157523.73358829,7414183.756350741
2023-07-11,6006678.1957248775,7214671.233581956
2023-07-12,6714988.15520062,8010965.815512358
2023-07-13,6472583.544630363,7716539.746700767
2023-07-14,5960672.393513662,7144952.493851746
2023-07-15,5722242.111323413,6806633.610988028
2023-07-16,5642169.067855979,6834030.398646518
2023-07-17,6289400.815707867,7593328.194612562
2023-07-18,6134320.168604267,7387279.267142286
2023-07-19,6848513.731668967,8192548.845814604
2023-07-20,6602863.785831891,7892593.618645549
2023-07-21,6080023.935034844,7306874.331783879
