Date,Revenue,COGS
2023-01-01,3145740.7389937076,3232931.067664675
2023-01-02,232705.14466774778,230025.4197303754
2023-01-03,674315.2941605729,737568.686673969
2023-01-04,103990.8088756738,137341.6395159536
2023-01-05,454176.68479945604,274133.66167993355
2023-01-06,785337.0040450669,822176.2260157227
2023-01-07,763590.1771879843,780307.5607717565
2023-01-08,855635.977221377,851892.6352941572
2023-01-09,1470510.9411823633,1336082.5510006938
2023-01-10,1302547.0957732713,1192078.221921682
2023-01-11,1180243.15409014,994326.2089281527
2023-01-12,872851.8057405073,829919.9392444306
2023-01-13,993491.7454149437,882096.9528824815
2023-01-14,980132.0910067302,869540.4157261418
2023-01-15,1251893.8037301183,945412.0701402097
2023-01-16,1034286.7639237229,780719.9332902585
2023-01-17,1500831.9424036592,1119537.4373129169
2023-01-18,1277473.5515635167,942438.7169224669
2023-01-19,851941.977802648,759710.5325501089
2023-01-20,1316224.5173324286,930733.2121816045
2023-01-21,1191017.5887854006,968407.472326564
2023-01-22,1388866.0098338213,1185685.8586005075
2023-01-23,985109.3668215056,749739.6487176577
2023-01-24,1560167.1072049807,1028542.9064405774
2023-01-25,858304.5279273184,659565.9626149698
2023-01-26,42511.30408455571,171550.88182226196
2023-01-27,1540093.7935937901,991005.4256770657
2023-01-28,1903061.115530539,1343336.0211361311
2023-01-29,2415382.389836115,1888070.9188125331
2023-01-30,1679887.9525014216,1507742.892695204
2023-01-31,2481902.9777837787,2208352.1994387517
2023-02-01,3508900.4071942437,2831492.8021261096
2023-02-02,1079248.3716609487,975053.3320413923
2023-02-03,1001420.6153438298,676684.1579904117
2023-02-04,1094282.3055771305,684446.2433252899
2023-02-05,1126337.3960920738,556324.6712764
2023-02-06,1354344.9398550848,728931.8595326388
2023-02-07,2388057.1983996113,1437911.3333512773
2023-02-08,1316213.9203382712,1064916.692640601
2023-02-09,1379645.775788421,925786.7156800934
2023-02-10,1467880.3209388542,942164.6822004623
2023-02-11,1961813.5534206685,1170491.4821090573
2023-02-12,2147533.0873299884,1394412.0538655363
2023-02-13,2382483.6119964896,1634455.5047262441
2023-02-14,2855322.9653981635,2210809.608916292
2023-02-15,2537356.057182168,2114967.132544222
2023-02-16,1876789.2932149214,1598981.6422270467
2023-02-17,1557678.3473390485,1271402.294679985
2023-02-18,1814080.032132105,1457660.522034566
2023-02-19,3077456.4728256883,2680369.807188621
2023-02-20,3281530.5905251065,2808761.192103386
2023-02-21,3750749.7449607435,3174376.3336446653
2023-02-22,2538796.8340111356,1984582.5220303265
2023-02-23,1682942.5427919843,1447872.1989418496
2023-02-24,1941466.6473144987,1735784.5878241989
2023-02-25,5245860.63034943,4384918.974461145
2023-02-26,5638985.88473175,4935743.843256015
2023-02-27,6432916.957353793,5431099.962363296
2023-02-28,5349555.677438026,4429070.1372339865
2023-03-01,5897330.997681668,4829854.89370651
2023-03-02,1031751.9902519865,808769.2284034663
2023-03-03,893426.3094505995,671721.0312247062
2023-03-04,1375029.5957429693,1126495.363371051
2023-03-05,1922915.718479306,1275153.262215509
2023-03-06,2773756.556468342,2264420.748169503
2023-03-07,3713162.9491990255,3070776.6795555954
2023-03-08,4384696.203798125,3422193.480767422
2023-03-09,3677690.524393163,2933281.817281904
2023-03-10,3379131.8958960213,2508334.5315200705
2023-03-11,3721737.9435704425,2941261.164268147
2023-03-12,4009663.437429014,3199462.6468947725
2023-03-13,4650346.309908909,3702186.30828592
2023-03-14,5054957.769093613,4027140.487692482
2023-03-15,4984676.342867905,3934845.790581909
2023-03-16,5505407.921011504,4542011.416725184
2023-03-17,4866157.71156175,3863848.4268346606
2023-03-18,4875758.391685908,3933555.3563148184
2023-03-19,4692204.884381877,4010825.5330601432
2023-03-20,4480349.037589877,3724475.043752829
2023-03-21,4732918.1775598535,4395529.387394187
2023-03-22,5690257.8262229385,5032689.4404002195
2023-03-23,5164882.845243296,4926569.554539033
2023-03-24,4178166.5532549303,4118155.832564532
2023-03-25,4404532.963502607,4293903.416220047
2023-03-26,4870510.9232596895,4251208.809354103
2023-03-27,4759850.199427333,4767155.131164412
2023-03-28,4662629.2891581245,4629038.450641296
2023-03-29,6748657.583106978,6660521.2905572485
2023-03-30,9494762.39129536,8383742.666378542
2023-03-31,8674891.87191931,8356864.17539518
2023-04-01,9209665.213854438,8707083.22809678
2023-04-02,8101028.897295243,7593040.982410468
2023-04-03,7447884.413161534,6829137.646990564
2023-04-04,4264864.94941724,3950304.762911466
2023-04-05,3692320.5452344003,3564433.678030388
2023-04-06,2321989.8200219534,2328221.5691629387
2023-04-07,2333279.5320486487,2341293.2215067227
2023-04-08,3226926.12384331,3353917.2345903423
2023-04-09,3830554.1436836035,3591437.533519435
2023-04-10,4452997.24797396,4211006.87547313
2023-04-11,4639516.670806355,4302579.274607999
2023-04-12,5353685.008794992,4873660.777019182
2023-04-13,4564962.970866183,4409281.391823273
2023-04-14,5444433.691885886,4725575.451816284
2023-04-15,5726643.641050171,4965883.820616958
2023-04-16,4688939.507438864,4163345.3531950647
2023-04-17,4204103.74435898,3720821.140316722
2023-04-18,5103603.906534924,4109701.634510021
2023-04-19,6362067.440979678,5141816.753202852
2023-04-20,3711325.151699457,3090592.34802725
2023-04-21,4848158.570886403,4003943.0184826916
2023-04-22,5091004.125344575,4186721.8737751474
2023-04-23,5600123.59930033,4789701.249743217
2023-04-24,5430288.677660123,4391159.173818361
2023-04-25,6173810.272098779,5193773.481526235
2023-04-26,5684215.886505337,4755631.713027905
2023-04-27,4546435.749364087,4311063.848626931
2023-04-28,5405568.117459555,4417733.137894666
2023-04-29,6251107.562338479,5205887.153277573
2023-04-30,6755077.560569439,5234060.18889171
2023-05-01,6284010.395731612,5270651.161835384
2023-05-02,6888636.83574583,5587889.117514217
2023-05-03,6327551.658344693,5235761.123617713
2023-05-04,4351016.61613833,3430735.937914608
2023-05-05,3395197.5503280843,2531250.64131134
2023-05-06,3742138.622655368,2899686.6452174075
2023-05-07,2868432.509063466,2318993.16204964
2023-05-08,3083940.8598938603,2617142.5836918284
2023-05-09,3502164.01479549,2956334.5137282326
2023-05-10,4413983.164840157,3640766.7497233804
2023-05-11,4573518.178970612,3817581.532117013
2023-05-12,3010046.7818494015,2775281.602735397
2023-05-13,4080530.73088148,3567203.0323593956
2023-05-14,4679501.740403064,3698676.4747642875
2023-05-15,4340345.511438048,3525889.963699903
2023-05-16,4892841.805777464,3867391.2734155185
2023-05-17,6293999.883415404,5038529.7279567
2023-05-18,6457814.354879909,5202149.509906452
2023-05-19,3713222.8921991526,2894984.799411297
2023-05-20,4414420.010125566,3575998.7081480036
2023-05-21,5154108.8188615935,4240965.739806465
2023-05-22,4582673.566867509,3901227.513241672
2023-05-23,5053363.934130809,3784851.691253993
2023-05-24,6565219.582289452,5365862.533691431
2023-05-25,7072610.623027004,5692950.617850467
2023-05-26,4040944.6585094198,3431708.8302036924
2023-05-27,3239204.6648658547,2716985.002885028
2023-05-28,4772409.2565254625,4023284.227671699
2023-05-29,6239458.6704388345,5205346.532442942
2023-05-30,8498055.43448399,6580742.73207107
2023-05-31,8831334.101409374,7165253.690313635
2023-06-01,10394256.598166766,8055301.930140876
2023-06-02,8409723.094020523,6871159.77507862
2023-06-03,6382895.131297601,5273187.086039233
2023-06-04,3525091.553782096,2784141.537911997
2023-06-05,4015903.8970438316,3078968.189202478
2023-06-06,3871316.8420043597,3164934.2447903464
2023-06-07,4307167.268767653,3464736.4521057103
2023-06-08,2814520.6557804532,2510206.4384835013
2023-06-09,3498890.6738375537,2769144.717439954
2023-06-10,4595696.446426723,3481394.092214393
2023-06-11,4669325.132364454,3792540.5869088406
2023-06-12,4627058.548528725,3645966.65644899
2023-06-13,5034055.406331651,3937510.783686127
2023-06-14,5750702.666879191,4629466.2541963775
2023-06-15,4971623.663231685,3876631.604588089
2023-06-16,5130177.6573255835,4308333.675409022
2023-06-17,5303932.680860394,4129065.7944415323
2023-06-18,4774543.07830161,3767420.1435481757
2023-06-19,4245531.894493916,3440749.9265108095
2023-06-20,5211815.47409324,4125602.991984494
2023-06-21,5947821.804382282,4656903.900475696
2023-06-22,3937814.230234587,3241672.6164721996
2023-06-23,4992716.993478412,3907212.6338008936
2023-06-24,4486070.449754553,3793544.892854085
2023-06-25,4291069.6583983805,3715077.348645909
2023-06-26,3959378.7875148235,3881301.6277181148
2023-06-27,6314266.5029492555,5786334.717184994
2023-06-28,7034194.659581854,6499521.989217101
2023-06-29,5942272.130213601,5751413.603674777
2023-06-30,5999692.446212115,5765215.129355287
2023-07-01,5748560.217678684,5717582.406551653
2023-07-02,4498776.935606405,4234874.013431538
2023-07-03,4263567.33526839,4212221.593294934
2023-07-04,1988602.356262891,1845446.4164351379
2023-07-05,2073461.13990076,1978914.1167352076
2023-07-06,2176067.6801184546,2112246.4008252705
2023-07-07,2093835.3400144805,1981058.4549671055
2023-07-08,1989809.6127138305,1896751.2450433373
2023-07-09,2175216.97489228,2235658.3530178126
2023-07-10,3012687.4868607945,3132751.819997466
2023-07-11,3805730.544160946,3863472.5776650524
2023-07-12,3748154.144486668,3677727.02191932
2023-07-13,4131354.8582619727,3876501.2634965642
2023-07-14,3455173.1176656336,3578208.848903557
2023-07-15,3393821.564118987,3347837.798872359
2023-07-16,3589723.3771783947,3437359.860688925
2023-07-17,3560763.264700469,3565541.801538485
2023-07-18,3718938.9664524565,3373678.6753342235
2023-07-19,3936737.882984208,3612573.000772503
2023-07-20,4341119.01224891,3919100.8665576
2023-07-21,3407062.009061169,2865858.535920915
2023-07-22,4488361.114311759,3776928.01799649
2023-07-23,4290473.03703999,3393540.277577447
2023-07-24,3483701.687433229,2696535.4287916743
2023-07-25,3613117.445152492,2648765.9801887143
2023-07-26,4909301.8382147355,3846578.511535857
2023-07-27,5337710.500606937,4147985.156303902
2023-07-28,3975139.5364749487,2841212.2411421784
2023-07-29,3460399.0664041885,2113620.8239361006
2023-07-30,4579747.773821796,3273966.0740801916
2023-07-31,5112699.13084851,3890792.1675359826
2023-08-01,5248148.438496849,3951224.1072527557
2023-08-02,6527710.752266458,5214476.772314507
2023-08-03,5784258.2329744045,4711028.651264784
2023-08-04,3884755.8326078923,3224842.817011646
2023-08-05,2892155.4702946665,2441737.9781540073
2023-08-06,2886652.529668767,2086522.3494276316
2023-08-07,3792886.04740682,2705663.643421984
2023-08-08,3136724.0835253126,2058984.7887031352
2023-08-09,3572016.101502712,2804729.8051562305
2023-08-10,4142010.3818852967,3197358.715817041
2023-08-11,3308977.598700377,2313271.051503839
2023-08-12,2472332.951681327,1490772.9739573782
2023-08-13,3011566.511488461,2230700.2737393603
2023-08-14,4006381.330565761,3167478.6701465542
2023-08-15,3741706.279196374,2753399.8774066735
2023-08-16,4084539.958510438,3293605.077104862
2023-08-17,4589668.470691143,3497432.2329797526
2023-08-18,2742817.8243760904,2327747.4713229756
2023-08-19,2612827.304829354,2225391.6276287246
2023-08-20,2448258.2775338003,2196522.531989673
2023-08-21,4007973.508370996,3133488.737627907
2023-08-22,3117739.759597751,2453922.822304896
2023-08-23,3648184.669604589,2852841.715205841
2023-08-24,3975618.7153750644,3277457.293521122
2023-08-25,3968029.1028803317,2992850.2178890975
2023-08-26,2657165.610511842,2032085.67293461
2023-08-27,6168220.72994711,4427886.591905285
2023-08-28,7022143.776869424,5419389.929907313
2023-08-29,7613650.91879956,5535542.509655992
2023-08-30,8786086.534398805,6371526.106056668
2023-08-31,7215228.760844153,5782846.094197916
2023-09-01,4277075.868801712,4273416.122930754
2023-09-02,3544762.9617569046,3577538.7176751797
2023-09-03,2126277.4590592687,1878045.0923307315
2023-09-04,2619526.845366732,2377831.8304996733
2023-09-05,1796993.0684388918,1559629.4138495647
2023-09-06,1951531.8802497948,1740379.0388856605
2023-09-07,3247104.717824073,2512921.0991967656
2023-09-08,2218330.725390152,1917455.913708338
2023-09-09,3137321.8513901904,2708207.019779082
2023-09-10,3626006.5142249954,3197545.2391673727
2023-09-11,3670113.7297025872,3135190.711876241
2023-09-12,2742153.5315059163,2420619.8786379984
2023-09-13,2516828.212663614,2349123.8654216197
2023-09-14,3280153.991428776,2815213.194061192
2023-09-15,2650142.2750763884,2513038.525642513
2023-09-16,2425310.1481054844,2103895.9698002283
2023-09-17,2550952.8604812184,2294118.5960282693
2023-09-18,3166110.6311539817,2818075.748150636
2023-09-19,2470768.986223256,2243035.6975319497
2023-09-20,2180155.009102227,2150928.394186141
2023-09-21,3246974.9460603716,2973284.0113496254
2023-09-22,2870817.372133159,2591386.0959267193
2023-09-23,3377959.7902828436,2884751.6598724127
2023-09-24,3150736.7233486185,2772307.6272327905
2023-09-25,5294522.852559122,4713360.569300007
2023-09-26,4008183.936857271,3555606.971942877
2023-09-27,3985276.682532465,3689829.2186391866
2023-09-28,4863996.197222339,4474748.280474218
2023-09-29,3239358.1924828393,2916496.686844144
2023-09-30,2690610.139006358,2376302.7614273564
2023-10-01,2801391.9273623466,2517196.6182421274
2023-10-02,3361536.916344525,2719919.6012628446
2023-10-03,3137121.1341808643,2584741.1369496547
2023-10-04,2252413.8976118257,1919540.450570807
2023-10-05,2231762.131187001,1768632.356762603
