Date,Revenue,COGS
2023-01-01,2712161.3234548583,2688458.4109349884
2023-01-02,725162.1517656778,590767.8306010019
2023-01-03,1023855.7257749743,912393.8153162191
2023-01-04,489962.7689905839,408099.13253502
2023-01-05,681415.8928881165,484296.0335807402
2023-01-06,1027001.7457661137,917450.1762782309
2023-01-07,1108551.3627392196,927440.0863854387
2023-01-08,1165816.620723674,1048147.6069564212
2023-01-09,1819928.7245354399,1515641.0592403542
2023-01-10,1486590.671558428,1250766.7819713352
2023-01-11,1420329.9452813494,1152320.3189497844
2023-01-12,1154813.3030417205,967413.7652446274
2023-01-13,1255776.3400687808,1032568.7063107716
2023-01-14,1239047.9483078034,1040831.6546156968
2023-01-15,1558615.137577043,1197941.3204744793
2023-01-16,1344890.868357235,1041714.9446763041
2023-01-17,1685328.6075540541,1285214.4267036666
2023-01-18,1488329.661473793,1136138.6886191396
2023-01-19,1156740.6579256994,948546.3965712956
2023-01-20,1529537.540181468,1105041.3711566716
2023-01-21,1386069.6095035172,1104492.9223289231
2023-01-22,1672959.2520542396,1360987.8065195049
2023-01-23,1738267.6936145003,1339652.5903231206
2023-01-24,2150602.682029484,1532038.6614588392
2023-01-25,1578235.3510824158,1239947.472352581
2023-01-26,972501.1511964798,805635.0407423945
2023-01-27,2201279.3686153344,1603319.759217601
2023-01-28,2597307.5301992353,1925977.570544103
2023-01-29,3057694.5495381425,2412311.269551752
2023-01-30,2310708.849048497,1923406.1442997279
2023-01-31,2898725.6339992937,2454314.2053787853
2023-02-01,3237434.736669435,2541413.1098229173
2023-02-02,1358930.8904735295,1152970.1281807553
2023-02-03,1417427.6990241632,1057168.3960233845
2023-02-04,1347458.3610309907,982665.1434556684
2023-02-05,1451200.29700439,967745.0936147235
2023-02-06,1630612.8780839343,1098228.2648692625
2023-02-07,2457034.059096518,1677223.5392649057
2023-02-08,1646719.980409784,1308848.4549858822
2023-02-09,1637228.3316617224,1192684.8300026043
2023-02-10,1800525.0327940718,1256690.9546754612
2023-02-11,2197314.7163049406,1514705.2663889204
2023-02-12,2497708.24670268,1842108.1990544829
2023-02-13,2749346.353048721,2043940.895531432
2023-02-14,3182314.194053964,2496817.279696559
2023-02-15,2934040.3848996824,2385838.4025121485
2023-02-16,2359871.2085308223,1927773.4926295497
2023-02-17,2087735.4092191905,1702833.251976799
2023-02-18,2325320.8990193726,1870571.5731808401
2023-02-19,3372134.4362863936,2835407.089497714
2023-02-20,3565352.5594959892,2937984.8634630726
2023-02-21,4012133.080566954,3333617.800190117
2023-02-22,3057349.2987842504,2450162.673972647
2023-02-23,2418234.1750274883,2021235.9189017909
2023-02-24,2668228.719144336,2224136.4451420354
2023-02-25,5523489.021188192,4442542.032377164
2023-02-26,5643714.581053262,4810335.055288778
2023-02-27,6438990.552347881,5311902.580550539
2023-02-28,5106331.306386162,4197328.280316657
2023-03-01,5533249.996391893,4553578.827890347
2023-03-02,1450492.933510352,1162436.559992129
2023-03-03,1318227.2466167896,1034029.0683344083
2023-03-04,1673181.2756500933,1383898.3394811177
2023-03-05,2252545.9422290553,1625728.498054495
2023-03-06,2975461.5743086915,2425127.6964555467
2023-03-07,3768238.128541009,3079931.2606995534
2023-03-08,4412471.000585522,3472892.2741280473
2023-03-09,3835074.4956956096,3047465.0771264546
2023-03-10,3567026.72121423,2754782.5365387676
2023-03-11,3812119.640725242,3087760.1978594926
2023-03-12,4061766.8360145465,3263718.547617227
2023-03-13,4640485.380859249,3702249.106347846
2023-03-14,5005442.045701366,4066134.1665814742
2023-03-15,5042752.51433367,4006131.800823824
2023-03-16,5613063.008533765,4616567.08431213
2023-03-17,4831289.243472265,3848291.6334222546
2023-03-18,4752049.176865766,3851044.028156187
2023-03-19,4639078.91052205,3972175.1068942733
2023-03-20,4511483.232113758,3826659.135989854
2023-03-21,4852212.402984165,4478805.705357424
2023-03-22,5782208.833843024,5107463.671921511
2023-03-23,5384576.092213316,4991645.653790445
2023-03-24,4377418.9298469415,4167812.5566190737
2023-03-25,4593875.288672303,4329445.757099831
2023-03-26,5192023.165195923,4600976.4525282355
2023-03-27,4984499.874424089,4803673.53168051
2023-03-28,5252813.52419652,4964073.683133055
2023-03-29,9059580.452367727,8517824.000973687
2023-03-30,9659232.67441393,8690820.308299666
2023-03-31,8789428.552058283,8402565.137657283
2023-04-01,9051662.93442168,8454897.423361033
2023-04-02,7753785.608632518,7151309.514423899
2023-04-03,5956717.701315178,5425449.370114654
2023-04-04,4507606.474188347,4103276.845118685
2023-04-05,4007904.1715429253,3735669.477357685
2023-04-06,2614698.339692869,2481240.6133936853
2023-04-07,2635286.4776190147,2474994.7811360206
2023-04-08,3503495.9564699233,3420912.0849960744
2023-04-09,3925703.9615322724,3640105.1817885074
