Date,Revenue,COGS
2023-01-01,2278581.9079160085,2143985.7542053014
2023-01-02,1217619.158863608,951510.2414716284
2023-01-03,1373396.1573893758,1087218.9439584692
2023-01-04,875934.729105494,678856.6255540864
2023-01-05,908655.100976777,694458.4054815469
2023-01-06,1268666.4874871606,1012724.1265407389
2023-01-07,1453512.5482904548,1074572.611999121
2023-01-08,1475997.264225971,1244402.578618685
2023-01-09,2169346.5078885164,1695199.5674800149
2023-01-10,1670634.247343585,1309455.3420209887
2023-01-11,1660416.7364725587,1310314.428971416
2023-01-12,1436774.8003429337,1104907.5912448242
2023-01-13,1518060.9347226177,1183040.4597390618
2023-01-14,1497963.8056088765,1212122.8935052517
2023-01-15,1865336.4714239675,1450470.5708087487
2023-01-16,1655494.9727907472,1302709.9560623497
2023-01-17,1869825.272704449,1450891.4160944163
2023-01-18,1699185.771384069,1329838.6603158123
2023-01-19,1461539.338048751,1137382.2605924823
2023-01-20,1742850.5630305074,1279349.5301317386
2023-01-21,1581121.6302216337,1240578.3723312821
2023-01-22,1957052.494274658,1536289.7544385022
2023-01-23,2491426.020407495,1929565.5319285835
2023-01-24,2741038.2568539875,2035534.416477101
2023-01-25,2298166.1742375134,1820328.9820901924
2023-01-26,1902490.9983084039,1439719.199662527
2023-01-27,2862464.943636879,2215634.0927581363
2023-01-28,3291553.944867932,2508619.1199520747
2023-01-29,3700006.70924017,2936551.620290971
2023-01-30,2941529.745595573,2339069.395904252
2023-01-31,3315548.2902148087,2700276.211318819
2023-02-01,2965969.0661446266,2251333.417519725
2023-02-02,1638613.4092861102,1330886.924320118
2023-02-03,1833434.7827044965,1437652.6340563572
2023-02-04,1600634.416484851,1280884.043586047
2023-02-05,1776063.197916706,1379165.515953047
2023-02-06,1906880.816312784,1467524.670205886
2023-02-07,2526010.919793425,1916535.7451785344
2023-02-08,1977226.0404812968,1552780.2173311636
2023-02-09,1894810.8875350237,1459582.9443251153
2023-02-10,2133169.744649289,1571217.2271504602
2023-02-11,2432815.879189213,1858919.0506687835
2023-02-12,2847883.4060753714,2289804.344243429
2023-02-13,3116209.094100952,2453426.28633662
2023-02-14,3509305.422709765,2782824.950476826
2023-02-15,3330724.712617196,2656709.672480075
2023-02-16,2842953.1238467228,2256565.3430320527
2023-02-17,2617792.4710993324,2134264.209273613
2023-02-18,2836561.76590664,2283482.6243271143
2023-02-19,3666812.399747099,2990444.371806807
2023-02-20,3849174.5284668724,3067208.5348227597
2023-02-21,4273516.416173164,3492859.2667355696
2023-02-22,3575901.7635573647,2915742.825914968
2023-02-23,3153525.8072629925,2594599.638861732
2023-02-24,3394990.7909741737,2712488.3024598723
2023-02-25,5801117.412026954,4500165.090293183
2023-02-26,5648443.277374773,4684926.26732154
2023-02-27,6445064.1473419685,5192705.198737783
2023-02-28,4863106.935334298,3965586.4233993283
2023-03-01,5169168.995102119,4277302.762074184
2023-03-02,1869233.876768717,1516103.8915807917
2023-03-03,1743028.1837829798,1396337.1054441105
2023-03-04,1971332.9555572174,1641301.3155911844
2023-03-05,2582176.165978805,1976303.733893481
2023-03-06,3177166.5921490407,2585834.64474159
2023-03-07,3823313.307882993,3089085.8418435114
2023-03-08,4440245.7973729195,3523591.067488673
2023-03-09,3992458.466998056,3161648.3369710054
2023-03-10,3754921.546532439,3001230.5415574643
2023-03-11,3902501.337880042,3234259.231450838
2023-03-12,4113870.2346000792,3327974.448339681
2023-03-13,4630624.451809589,3702311.904409772
2023-03-14,4955926.32230912,4105127.8454704667
2023-03-15,5100828.685799436,4077417.811065739
2023-03-16,5720718.096056025,4691122.751899075
2023-03-17,4796420.775382781,3832734.840009848
2023-03-18,4628339.962045623,3768532.6999975555
2023-03-19,4585952.936662223,3933524.6807284034
2023-03-20,4542617.42663764,3928843.2282268787
2023-03-21,4971506.628408476,4562082.023320661
2023-03-22,5874159.841463111,5182237.903442804
2023-03-23,5604269.339183336,5056721.753041856
2023-03-24,4576671.306438953,4217469.280673616
